PROJECTID,cohort_col,TESTNAME,UNITS,n,omnibus_pval,omnibus_qval_fdr_bh,outlier_handling,gba_included,log_transform,pd_only
LCC 108,HEURISTIC,FFA (22:5),area ratio,39.0,0.1787820869518731,0.900843707210794,none,False,False,True
LCC 108,HEURISTIC,FFA (22:6),area,39.0,0.1218355695927263,0.8817849349273569,none,False,False,True
LCC 108,HEURISTIC,FFA (22:6),area ratio,39.0,0.1051064838987362,0.8336527969502505,none,False,False,True
LCC 108,HEURISTIC,FFA (24:0),area,39.0,0.4917126479801851,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,FFA (24:0),area ratio,39.0,0.6395292133956363,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,FFA (24:1),area,39.0,0.4230042349621422,0.9930354163961256,none,False,False,True
LCC 108,HEURISTIC,FFA (24:1),area ratio,39.0,0.6294593570257658,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,FFA (24:6),area,39.0,0.079436174333121,0.7130059608264677,none,False,False,True
LCC 108,HEURISTIC,FFA (24:6),area ratio,39.0,0.0190238955316948,0.3442136097766045,none,False,False,True
LCC 108,HEURISTIC,FFA(16:0),area,39.0,0.6751134829522422,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,FFA(16:0),area ratio,39.0,0.2601964473564265,0.95665603523153,none,False,False,True
LCC 108,HEURISTIC,FFA(16:1),area,39.0,0.3949239648013409,0.9930354163961256,none,False,False,True
LCC 108,HEURISTIC,FFA(16:1),area ratio,39.0,0.4677382342027513,0.9930354163961256,none,False,False,True
LCC 108,HEURISTIC,FFA(18:0),area,39.0,0.6392218666338381,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,FFA(18:0),area ratio,39.0,0.4000866107168713,0.9930354163961256,none,False,False,True
LCC 108,HEURISTIC,FFA(18:1),area,39.0,0.6084501956685702,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,FFA(18:1),area ratio,39.0,0.2178205855086548,0.900843707210794,none,False,False,True
LCC 108,HEURISTIC,FFA(18:2),area,39.0,0.5855412274902742,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,FFA(18:2),area ratio,39.0,0.2322723986918692,0.9339286030735576,none,False,False,True
LCC 108,HEURISTIC,FFA(18:3),area,39.0,0.4427066237086204,0.9930354163961256,none,False,False,True
LCC 108,HEURISTIC,FFA(18:3),area ratio,39.0,0.2038251461295561,0.900843707210794,none,False,False,True
LCC 108,HEURISTIC,FFA(20:4),area,39.0,0.975437618732766,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,FFA(20:4),area ratio,39.0,0.9410900325906448,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,GalCer (d18:2/20:0),area,39.0,0.591114963637721,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,GalCer (d18:2/20:0),area ratio,39.0,0.1383441766268704,0.8940041470574267,none,False,False,True
LCC 108,HEURISTIC,GalCer(d18:1/16:0),area,39.0,0.8485820051510632,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,GalCer(d18:1/16:0),area ratio,39.0,0.3003250117736469,0.95665603523153,none,False,False,True
LCC 108,HEURISTIC,GalCer(d18:2/18:0),area,39.0,0.9102739049526156,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,GalCer(d18:2/18:0),area ratio,39.0,0.460631581481164,0.9930354163961256,none,False,False,True
LCC 108,HEURISTIC,gamma-Aminobutyric acid,area,39.0,0.2237862642153117,0.9171153680120656,none,False,False,True
LCC 108,HEURISTIC,gamma-Aminobutyric acid,area ratio,39.0,0.3516685277738378,0.9930354163961256,none,False,False,True
LCC 108,HEURISTIC,GB3(d18:1/16:0),area,39.0,0.3524071347478086,0.9930354163961256,none,False,False,True
LCC 108,HEURISTIC,GB3(d18:1/16:0),area ratio,39.0,0.1288377508551491,0.8940041470574267,none,False,False,True
LCC 108,HEURISTIC,GB3(d18:1/18:0),area,39.0,0.0020246381343565,0.0837332485566016,none,False,False,True
LCC 108,HEURISTIC,GB3(d18:1/18:0),area ratio,39.0,8.643639518505449e-05,0.0085156587046431,none,False,False,True
LCC 108,HEURISTIC,GB3(d18:1/24:0),area,39.0,0.0217929946924288,0.3495849537819092,none,False,False,True
LCC 108,HEURISTIC,GB3(d18:1/24:0),area ratio,39.0,0.0004281047203514,0.0247872633083471,none,False,False,True
LCC 108,HEURISTIC,GB3(d18:1/24:1),area,39.0,0.0448483075527412,0.5156757474237832,none,False,False,True
LCC 108,HEURISTIC,GB3(d18:1/24:1),area ratio,39.0,0.0039666297736505,0.1157653843012355,none,False,False,True
LCC 108,HEURISTIC,Glc-Cholesterol,area,39.0,0.2717772776634189,0.95665603523153,none,False,False,True
LCC 108,HEURISTIC,Glc-Cholesterol,area ratio,39.0,0.4339625344710843,0.9930354163961256,none,False,False,True
LCC 108,HEURISTIC,Glc-Sitosterol,area,39.0,0.1120978144268929,0.8653951273756139,none,False,False,True
LCC 108,HEURISTIC,Glc-Sitosterol,area ratio,39.0,0.1603877387411582,0.900843707210794,none,False,False,True
LCC 108,HEURISTIC,GlcCer (d18:1/22:0),area,39.0,0.6713341356601161,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,GlcCer (d18:1/22:0),area ratio,39.0,0.0407357377237595,0.51273895960993,none,False,False,True
LCC 108,HEURISTIC,GlcCer (d18:1/24:0),area,39.0,0.803251487478558,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,GlcCer (d18:1/24:0),area ratio,39.0,0.1017414134797519,0.818170533399672,none,False,False,True
LCC 108,HEURISTIC,GlcCer (d18:2/20:0),area,39.0,0.0392657405806653,0.5052191954712273,none,False,False,True
LCC 108,HEURISTIC,GlcCer (d18:2/20:0),area ratio,39.0,0.0001940522301667,0.0139908242148087,none,False,False,True
LCC 108,HEURISTIC,GlcCer(18:2/22:0),area,39.0,0.059182162526614,0.5908012431536127,none,False,False,True
LCC 108,HEURISTIC,GlcCer(18:2/22:0),area ratio,39.0,0.0008403612704448,0.0442335614170521,none,False,False,True
LCC 108,HEURISTIC,GlcCer(d:18:1/24:1),area,39.0,0.2249229399960506,0.9171153680120656,none,False,False,True
LCC 108,HEURISTIC,GlcCer(d:18:1/24:1),area ratio,39.0,0.0214072972268808,0.3495849537819092,none,False,False,True
LCC 108,HEURISTIC,GlcCer(d18:1/16:0),area,39.0,0.215141802612488,0.900843707210794,none,False,False,True
LCC 108,HEURISTIC,GlcCer(d18:1/16:0),area ratio,39.0,0.0187498094633296,0.3442136097766045,none,False,False,True
LCC 108,HEURISTIC,GlcCer(d18:1/18:0),area,39.0,0.0348632287620112,0.4690506302780013,none,False,False,True
LCC 108,HEURISTIC,GlcCer(d18:1/18:0),area ratio,39.0,8.824516792376358e-05,0.0085156587046431,none,False,False,True
LCC 108,HEURISTIC,GlcCer(d18:1/20:0),area,39.0,0.4661690145968207,0.9930354163961256,none,False,False,True
LCC 108,HEURISTIC,GlcCer(d18:1/20:0),area ratio,39.0,0.0213963961868289,0.3495849537819092,none,False,False,True
LCC 108,HEURISTIC,GlcCer(d18:1/22:1),area,39.0,0.0889009339953441,0.7554665589306816,none,False,False,True
LCC 108,HEURISTIC,GlcCer(d18:1/22:1),area ratio,39.0,0.0053784232070921,0.148290811281255,none,False,False,True
LCC 108,HEURISTIC,GlcCer(d18:2/18:0),area,39.0,0.0002174739515255,0.0139908242148087,none,False,False,True
